group_key,total,variants,unique_msgs,top_members,sizes,colors,units,merged_stems
гарпун полотн прямоугольник стандарт,4,4,1,полотно черный гарпун стандарт прямоугольник 280*310(1) | полотно черный гарпун стандарт прямоугольник 301*290(1) | полотно чёрный гарпун стандарт прямоугольник 280*310(1) | полотно чёрный гарпун стандарт прямоугольник 301*290(1),"280*310:2, 301*290:2","черный:2, чёрный:2","шт:2, —:2",
пвх полупрозрачк,4,4,1,полупрозрачка пвх 500-100(1) | полупрозрачка пвх 700-100(1) | полупрозрачка пвх 800-100(1) | полупрозрачка пвх 900-100(1),"100:4, 500:1, 700:1, 800:1, 900:1",,—:4,
мсд полупрозрачн,4,4,2,"полупрозрачное мсд 1.0 x 2.48(1) | полупрозрачное мсд 1.63 х 0,60(1) | полупрозрачное мсд 1.94 х 1.74(1) | полупрозрачный мсд 195х138(1)","1.0:1, 2.48:1, 1.63:1, 0,60:1, 1.94:1, 1.74:1, 195х138:1",,"—:3, шт:1",
классик потолк,4,3,4,потолки белый мат классик(2) | потолка мат классик(1) | потолков мат классик(1),,"мат:4, белый:2","—:2, шт:2",
jm pro потолок,4,4,2,потолок jm pro 250*195(1) | потолок jm pro 500*1030(1) | потолок jm pro белый 310*180(1) | потолок jm pro белый 510*1025(1),"250*195:1, 500*1030:1, 310*180:1, 510*1025:1",белый:2,шт:4,
алюмин потолочк,4,1,4,потолочка алюминий(4),,,"м:3, —:1",
алюмин потолочн профил,4,2,4,потолочный профиль алюминий(2) | профиль потолочный алюминий(2),,,"м:3, —:1",
пп,4,2,4,пп 009(3) | пп 75(1),"009:3, 75:1",,"шт:3, м:1",
пресшайб,4,1,4,пресшайбы(4),,,"кг:3, гр:1",
кольц протектн,4,4,1,протектное кольцо 10мм(1) | протектное кольцо 20(1) | протектное кольцо 65мм(1) | протектное кольцо 75мм(1),"10:1, 20:1, 65:1, 75:1",,шт:4,
double lumfer профил,4,3,4,профиль lumfer double (черный) 2м(2) | профиль double lumfer черный(1) | профиль lumfer double(1),2:2,черный:3,м:4,
eurokraab профил стенов тенев,4,4,4,профиль eurokraab теневой стеновой(1) | профиль теневой eurokraab 2.0 стеновой(1) | профиль теневой eurokraab стеновой(1) | профиль теневой стеновой eurokraab(1),2.0:1,,"м:3, —:1",
brus flexy брус ниш,4,3,3,профиль flexy brus 03 (пф 8153 «брус-ниша») (2м) черный(2) | профиль flexy brus 03 (пф 8153 брус-ниша) (2м) белый(1) | профиль flexy brus 03 (пф 8153 брус-ниша) (2м) черный(1),"03:4, 8153:4, 2:4","черный:3, белый:1",м:4,
flexy fly профил,4,3,4,профиль flexy fly 04(2) | профиль flexy fly 01 2м белый(1) | профиля flexy fly02 чёрный(1),"04:2, 01:1, 2:1, 02:1","белый:1, чёрный:1","шт:2, м:2",
lumfer track профил,4,1,4,профиль lumfer track 25 (2м) черный (220v)(4),"25:4, 2:4, 220:4",черный:4,м:4,
ал профил тяжел,4,1,4,профиль ал тяжелый(4),,,м:4,
alteza delta алформ профил,4,1,4,профиль алформ alteza delta теневой стеновой чёрный 2 п.м.(4),2:4,чёрный:4,"м:3, шт:1",
prozet алформ алюминиев бп,4,1,4,профиль алформ prozet бп 40 алюминиевый брус 2 п.м.(4),"40:4, 2:4",,"м:2, шт:2",
алюм профил,4,2,4,профиль алюм 136 гр(3) | профиль алюм 140 гр(1),"136:3, 140:1",,м:4,
алюминиев профил стандарт стенов,4,3,4,профиль алюминиевый стеновой стандарт(2) | профиль стеновой алюминиевый стандарт(1) | профиль стеновой стандарт алюминиевый(1),,,"м:3, —:1",
лин профил светов,4,4,4,профиль для световой линии(1) | профиль для световой линии 3см(1) | профиль для световых линий 30мм(1) | профиль световая линии 30 мм(1),"30:2, 3:1",,м:4,
профил рассеивател,4,4,4,профиль и рассеиватель(1) | профиль с рассеивателем(1) | рассеиватель на этот профиль(1) | рассеивателя в профиль(1),,,м:4,
пвх периметр профил,4,3,4,профиль по периметру пвх(2) | профиль пвх по периметру(1) | профиль пвх по периметру + 1 палка(1),1:1,,"—:3, палка:1",
пвх перфорированн профил стенов,4,2,4,профиль стеновой пвх перфорированный белый 2 п.м.(3) | профиль стеновой пвх перфорированный белый(1),2:3,белый:4,"—:2, м:1, шт:1",
профил стенов тяжёл,4,3,4,профиль тяжёлый стеновой(2) | профиль стеновой тяжёлый(1) | профиль стеновой(тяжёлый)(1),,,"м:3, —:1",
профил стенов усиленн,4,3,4,профиль стеновой усиленный(2) | профиль усиленный стеновой 145(1) | стеновой усиленный профиль(1),145:1,,м:4,
профил тенев флекс,4,4,4,профиль теневой флекси(1) | профиль теневой флекси 05(1) | профиль флекси теневой(1) | теневой профиль флекси(1),05:1,,"м:3, —:1",
профил трек,4,3,4,профиль трек 01(2) | профиль трек(1) | профиль-трек(1),01:2,,"м:3, шт:1",
профил рассеивател фла флекс,4,3,4,рассеиватель для профиля флекси флай 02(2) | профиль флекси флай-02 черный с рассеивателем(1) | рассеиватель для профиля флекси флай 2(1),"02:3, 2:1",черный:1,м:4,
профил шток,4,1,4,профиль шток(4),,,м:4,
пульт,4,1,4,пульт(4),,,"—:3, шт:1",
разделок флекс,4,2,4,флекси разделок(3) | разделок флекси(1),,,м:4,
расеевател,4,1,4,расееватель(4),,,"—:2, м:2",
дюбел распорн,4,3,4,распорный дюбель 6х35 мм синие 1000 шт.(2) | распорный дюбель 6х35 мм синие 1000 шт(1) | распорный дюбель 6х40 мм синие 1000 шт.(1),"1000:4, 6х35:3, 6х40:1",синие:4,"пачка:1, уп:1, шт:1",
пк рассевател,4,1,4,рассеватель на пк 14(4),14:4,,м:4,
алтез рассеивател,4,4,4,рассеиватель в алтезу(1) | рассеиватель для алтеза(1) | рассеиватель на алтеза(1) | рассеиватель на алтезу(1),,,м:4,
лин рассеивател свет,4,2,4,рассеиватель для свет линии(3) | свет. линии 3см + рассеиватель(1),3:1,,—:4,
резинк,4,3,4,резинка черная(2) | резинка(1) | резинка белая(1),,"черная:2, белая:1",м:4,
саморез ые,4,4,4,саморезы 25ые(1) | саморезы 35ые(1) | саморезы 41ые(1) | саморезы25ые(1),"25:2, 35:1, 41:1",,кг:4,
лини св,4,2,4,св линия 30 мм(3) | св. линия 30мм(1),30:4,,"—:2, м:2",
кафел сверл,4,3,4,сверла по кафелю(2) | сверло по кафелю(1) | сверло по кафелю 6мм(1),6:1,,шт:4,
плитк сверл,4,2,4,сверло по плитке(3) | сверло по плитке 6мм(1),6:1,,шт:4,
bh светильник,4,4,4,светильник bh10(1) | светильник bh53(1) | светильники bh 10(1) | светильники bh 53(1),"10:2, 53:2",,"шт:3, —:1",
гх светильник,4,4,4,светильник гх53 белый(1) | светильник гх53 черный(1) | светильники гх 53(1) | светильники гх53(1),53:4,"белый:1, черный:1",шт:4,
лини светов слим флекс,4,3,4,световая линия флекси слим 3 см(2) | световая линия флекси 3 см слим(1) | световая линия флекси 3см слим(1),3:4,,м:4,
лин световы флекс,4,3,3,световые линии флекси 3см(2) | световые линии флекси 1.5 см(1) | световые линии флекси 3 см(1),"3:3, 1.5:1",,"палка:2, м:2",
свобод,4,4,1,свободы 20(1) | свободы 25(1) | свободы 28(1) | свободы 32(1),"20:1, 25:1, 28:1, 32:1",,шт:4,
скотч,4,2,4,скотч(2) | скотч прозрачный 50мм*56м(2),"50:2, 56:2",прозрачный:2,шт:4,
смарт трек,4,4,3,смарт треки 2м(1) | смарт треки 3м(1) | трек смарт 3м(1) | трек смарт черный 2м(1),"2:2, 3:2",черный:1,шт:4,
краб соед угловы,4,4,4,соед для краба угловые(1) | соед на краб угловые(1) | угловые соед для краба(1) | угловые соед к крабу(1),,,шт:4,
соединител угловы,4,2,4,угловые соединители(3) | соединители угловые(1),,,"—:2, шт:2",
eurokraab внешн внутренн соединител,4,1,4,"соединитель eurokraab угловой (внешний, внутренний)(4)",,,"—:2, шт:2",
стеновог,4,1,4,стенового(4),,,м:4,
пленк стрейч,4,2,2,стрейч-пленка 100мм*300м(2) | стрейч-пленка 500мм*300м(2),"300:4, 100:2, 500:2",,шт:4,
длин танд,4,1,4,тандем по длине(4),,,—:4,
тектум,4,4,2,тектум(1) | тектум 1680х18(1) | тектум 501х18(1) | тектум 520х18(1),"1680х18:1, 501х18:1, 520х18:1",,—:4,
тел,4,4,4,"тел. +7 (343) 301-77-27, +7 (343) 201-03(1) | тел. +7(977) 374-98(1) | тел: 8 (925) 460-75(1) | тел: 8 (925) 460-75-07(1)","7:2, 8:2, 925:2, 460:2, 75:2, 343:1, 301:1, 77:1",,—:4,
eclipse диффузор тенев труб,4,1,4,теневой диффузор eclipse под 100/125 трубу(4),100/125:4,,шт:4,
потолочн тенев,4,1,4,теневой потолочный(4),,,"м:3, —:1",
тенев флекс,4,4,4,теневой флекси(1) | теневой флекси 01(1) | теневой флекси 02(1) | флекси 02 теневой(1),"02:2, 01:1",,м:4,
ам карниз торец,4,2,4,торец на карниз ам01(2) | торец на карниз ам1 чёрный(2),"01:2, 1:2",чёрный:2,"компл:2, —:1, шт:1",
белы торц,4,3,4,торцы белые(2) | торца белые(1) | торцов белые(1),,,"компл:2, шт:1, —:1",
line заглушк лин пф,4,2,4,торцевая заглушка для световой линии 30мм line 30 (пф 6838)(3) | торцевая заглушка для световой линии 15мм line 15 (пф 7140)(1),"30:3, 6838:3, 15:1, 7140:1",,шт:4,
ам белы заглушк торцевы,4,3,4,торцевые заглушки ам1 белые(2) | торцевые заглушки ам 1 белые(1) | торцевые заглушки белые в ам-1(1),1:4,,"компл:2, шт:1, пачка:1",
заглушк торцевы трек,4,4,4,торцевые заглушки для трек 01(1) | торцевые заглушки для треков комплект(1) | торцевые заглушки трек 01(1) | торцевые заглушки трек01(1),01:3,,шт:4,
лин светов торц,4,4,4,торцы для световой линии(1) | торцы для световой линии 30 мм(1) | торцы к световой линии(1) | торцы световой линии(1),30:1,,"компл:3, шт:1",
bk denkirs dk встраиваем,4,4,3,точечный встраиваемый светильник denkirs dk2120-bk(1) | точечный встраиваемый светильник denkirs dk3024-bk(1) | точечный встраиваемый светильник denkirs dk3071-bk(1) | точечный встраиваемый светильник denkirs dk3072-bk(1),"2120:1, 3024:1, 3071:1, 3072:1",,шт:4,
денкирс смарт трек,4,4,2,трек денкирс смарт 2м(1) | трек денкирс смарт 3м(1) | трек смарт денкирс чёрный 2м(1) | трек смарт денкирс чёрный 3м(1),"2:2, 3:2",чёрный:2,"палка:2, шт:2",
кламп трек,4,2,4,трек кламп чёрный(2) | трек25 кламп 2м(2),"25:2, 2:2",чёрный:2,"м:2, шт:2",
краб соеденител углов,4,1,4,угловой соеденитель краб(4),,,шт:4,
регулировочн уголок флекс,4,1,3,уголок регулировочный флекси(4),,,"—:2, шт:2",
крючк упаковк,4,2,4,упаковки крючков(3) | упаковку крючков(1),,,"уп:3, шт:1",
полоск фанер ширин,4,4,1,фанера полосками 12 мм ширина 10 см(1) | фанера полосками 12 мм ширина 13 см(1) | фанера полосками 12 мм ширина 18 см(1) | фанера полосками 12 мм ширина 22 см(1),"12:4, 10:1, 13:1, 18:1, 22:1",,м:4,
бел фла,4,2,4,флай 02 бел(3) | флай02 бел(1),02:4,,м:4,
ту шввп,4,1,4,шввп ту(4),,,м:4,
screen экран,4,4,4,экран 14 мм (screen 14) белый(1) | экран 14 мм screen 14 белый(1) | экран 15мм (screen 15)(1) | экран 30мм (screen 30) белый(1),"14:2, 15:1, 30:1",белый:3,м:4,
тенев ёшк,4,4,4,ёшка белая теневая(1) | ёшка теневая(1) | ёшка теневая белая(1) | ёшка чёрная теневая(1),,"белая:2, чёрная:1",м:4,
владислав,3,1,3,*!!!заказ через владислава!!!*(3),,,—:3,
подробн сайт,3,2,3,подробнее на сайте:  *(2) | *подробнее на сайте:  *(1),,,—:3,
птл,3,2,2,146-243 птл 4501-118(2) | птл 4501-121(1),"4501:3, 146:2, 243:2, 118:2, 121:1",,"шт:2, —:1",
ванн,3,3,3,170×170 ванная(1) | ванна 165*171(1) | ванная 170на170(1),"170×170:1, 165*171:1, 170:1",,"шт:2, —:1",
колс,3,3,3,185 й колса(1) | колса 180 й(1) | колса 190 й(1),"185:1, 180:1, 190:1",,шт:3,
заглушек комплект пк,3,3,3,2 комплекта заглушек к пк(1) | комплекта (белых) заглушек для пк-15(1) | комплекта заглушек пк-14(1),"2:1, 15:1, 14:1",белых:1,"компл:2, —:1",
метровы,3,3,3,2 метровые(1) | 2 х метровые(1) | а 2-х метровые есть?(1),2:3,,"шт:2, —:1",
гост,3,2,3,2*075 гост(2) | 5* гост(1),"2*075:2, 5:1",,"м:2, —:1",
матов,3,3,2,2.7+3.5 матовый(1) | 4.0+3.5 матовый(1) | матовый белый(1),"3.5:2, 2.7:1, 4.0:1","матовый:3, белый:1","шт:2, —:1",
кле компонентн фикс,3,3,3,2компонентный клей фикс(1) | клей фикс 2-х компонентный(1) | клей фикс 2х компонентный(1),2:3,,"—:2, шт:1",
обычны,3,3,2,30е обычные(1) | обычные 195х98(1) | обычные 248х120(1),"30:1, 195х98:1, 248х120:1",,"шт:2, —:1",
саморез ый,3,2,3,саморез 35ый(2) | 35ый саморез(1),35:3,,"пачка:2, уп:1",
штучк,3,3,3,4 штучки(1) | штучки(1) | штучку(1),4:1,,шт:3,
денег конверт,3,3,3,4) конверты для денег(1) | 6)конверты для денег(1) | конверты для денег(1),"4:1, 6:1",,—:3,
ватт,3,3,3,8 ватт 4000к(1) | 8ватт 4000к(1) | лет 9.6 ватт(1),"8:2, 4000:2, 9.6:1",,"шт:2, пачка:1",
airkraab,3,2,3,airkraab(2) | airkraab 2.0(1),2.0:1,,м:3,
bauf fire km matte,3,3,3,bauf fire proof km3 serie 205 matte 303 белый 320 см(1) | полотно bauf fire proof km3 serie 205 matte 303 белый 320 см(1) | полотно bauf fire proof km3 serie 205 matte 303 белый 450 см(1),"3:3, 205:3, 303:3, 320:2, 450:1",белый:3,"—:2, шт:1",
borzz karniz,3,3,3,borzz karniz 45(1) | borzz karniz p45 белый(1) | borzz karniz p45 белый 2м(1),"45:3, 2:1",белый:2,"м:2, шт:1",
clamp level,3,3,3,clamp level 50(1) | clamp level50(1) | clamp level70 чёрный(1),"50:2, 70:1",чёрный:1,м:3,
clamp umbra,3,1,3,clamp umbra(3),,,м:3,
conn kraab прям соединител,3,1,3,conn прямой соединитель kraab(3),,,шт:3,
de,3,3,2,de(1) | de 15см(1) | de 228(1),"15:1, 228:1",,"—:2, см:1",
descor холодн,3,3,1,descor 050 холодный 310*470(1) | descor 050 холодный 410*280(1) | descor 050 холодный 410*290(1),"050:3, 310*470:1, 410*280:1, 410*290:1",,шт:3,
eleganz lux,3,2,3,"eleganz lux 24v 9,6w 4500к(2) | eleganz lux 24v 9,6w 3000к(1)","24:3, 9,6:3, 4500:2, 3000:1",,"шт:2, —:1",
euro,3,2,3,euro 06(2) | euro 05(1),"06:2, 05:1",,м:3,
borzz flexy fly mini,3,3,3,flexy borzz fly mini профиль алюминиевый парящий 2.0 м. черный(1) | flexy borzz fly mini профиль алюминиевый парящий 2.0 м. чёрный(1) | парящий профиль flexy borzz fly mini черный (2 м)(1),"2.0:2, 2:1","черный:2, чёрный:1",м:3,
borzz flexy light ал,3,1,3,flexy borzz light 30 пф 3649 профиль ал световая линия 30мм 2.0 м(3),"2.0:3, 30:3, 3649:3",,м:3,
flexy intra ply профил,3,3,3,flexy intra ply пф 3888 профиль стеновой теневой черный(1) | стеновой теневой профиль flexy intra ply (2 м)(1) | стеновой теневой профиль flexy intra ply 2м(1),"2:2, 3888:1",черный:1,м:3,
flexy line,3,3,3,flexy line 30(1) | flexy line30m(1) | flexy line50(1),"30:2, 50:1",,м:3,
flo,3,3,3,flo 01(1) | flo 01.(1) | flo01(1),01:3,,м:3,
foton,3,2,3,foton черный(2) | foton 80 черный(1),80:1,черный:3,м:3,
glamur gx светильник,3,1,3,glamur gx5360 4000к светильник(3),"5360:3, 4000:3",,шт:3,
gx лампочк нейтральн,3,3,3,gx 53 с лампочкой нейтральной(1) | лампочка gx 53 нейтральная(1) | лампочка gx53-12w(нейтральный)(1),"53:3, 12:1",,шт:3,
gx черны,3,3,3,gx черные(1) | gx53 черные(1) | черные gx53(1),53:2,,шт:3,
gx белы ламп нейтральным,3,2,3,gx53 белые с нейтральными лампами 12w(2) | gx53 белые с лампами 10 w нейтральными(1),"53:3, 12:2, 10:1",,шт:3,
gx бел светильник,3,3,3,gx53 светильник бел матовый(1) | светильник gx53 бел(1) | светильники gx53 бел.(1),53:3,матовый:1,шт:3,
gx лампочк светильник,3,3,3,gx53 светильник белый с лампочкой(1) | светильник + лампочка gx53 10w 4000k(1) | светильник gx 53 белый с лампочками(1),"53:3, 10:1, 4000:1",белый:2,шт:3,
gx чёрны,3,2,3,gx53 чёрные(2) | чёрные gx53(1),53:3,,шт:3,
alpha gu innoy ламп,3,1,3,innoy alpha m точечный светильник под модуль или лампу gu10 белый песок(3),10:3,белый:3,шт:3,
ceiling creme jm pro,3,2,3,отрез 410х600 jm ceiling pro creme 24.6 кв.м.(2) | jm ceiling pro creme ролик 310(1),"410х600:2, 24.6:2, 310:1",,"—:2, м:1",
jm pro тёпл,3,3,1,"jm pro тёплый белый 3,1*2,1(1) | jm pro тёплый белый 3,1*4,7(1) | jm pro тёплый белый 3,1*5,7(1)","3:3, 7:2, 1*2:1, 1:1, 1*4:1, 1*5:1",белый:3,—:3,
karniz one,3,2,2,karniz one 2метра белый(2) | karniz one 2метра белый - нет(1),2:3,белый:3,—:3,
lumfer,3,2,3,lumfer n02(2) | lumfer мат белый 118х373(1),"02:2, 118х373:1","белый:1, мат:1","м:2, шт:1",
matte,3,3,1,matte 100(1) | matte 114(1) | matte 608(1),"100:1, 114:1, 608:1",,—:3,
duplex prozet бесщелевик,3,2,3,"prozet duplex бесщелевик 2,5(2) | prozet duplex бесщелевик(1)","2,5:2",,"шт:2, м:1",
neo plus sigma бампер,3,3,2,"sigma neo 60 plus +бампер белый(1) | sigma neo 60 plus 4м (белый, бампер с рассеивателем, демпфер)(1) | sigma neo 80 plus 4м (белый, бампер с рассеивателем, демпфер)(1)","60:2, 4:2, 80:1",белый:3,"компл:2, м:1",
led plus sigma,3,3,2,sigma plus led белый мат(1) | sigma plus led черный(1) | sigma plus led черный мат(1),,"мат:2, черный:2, белый:1",м:3,
led standart,3,3,3,standart 60 led(1) | standart01 60 led(1) | standart02 led 80(1),"60:2, 01:1, 02:1, 80:1",,"м:2, —:1",
euro standart,3,2,3,standart euro 05(2) | standart euro_05(1),05:3,,м:3,
smart standart,3,1,3,standart smart(3),,,м:3,
one smart tr wh,3,3,1,"tr2022-wh профиль-трек smart one, для натяжных потолков, 2 м, алюминий, белый(1) | tr2023-wh профиль-трек smart one, длянатяжных потолков, 3 м, алюминий, белый(1) | tr2025-wh комплект торцевых заглушек для трека smart one(1)","2022:1, 2:1, 2023:1, 3:1, 2025:1",белый:2,"шт:2, компл:1",
al tr прям соединител,3,1,3,tr3043-al комплект соединителей прямых(3),3043:3,,"компл:2, шт:1",
belty bk rod tr,3,3,1,tr5532-bk штанга belty rod(1) | tr5537-bk подвес для штанги belty rod(1) | крепление-зажим belty rod tr5536-bk(1),"5532:1, 5537:1, 5536:1",,шт:3,
zобр отбойник,3,1,3,zобр отбойник(3),,,м:3,
акрилов герметик,3,2,3,акриловый герметик(2) | герметик акриловый белый(1),,белый:1,"—:2, шт:1",
ph бит длинн,3,2,3,бита ph 2 длинная(2) | биту длинную ph2(1),2:3,,"—:2, шт:1",
вставк разделительн,3,3,3,вставка в разделительный(1) | вставка r разделительная(1) | под разделительный вставку(1),,,м:3,
dk inviz wh встраиваем,3,1,3,встраиваемый точечный светильник inviz dk2080-wh(3),2080:3,,"шт:2, —:1",
закл свет,3,3,3,"закл под свет 60-110 мм(1) | закл под свет 75(1) | закл под свет. 90""(1)","60:1, 110:1, 75:1, 90:1",,шт:3,
okong кле цианоакрилатн,3,1,3,клей okong c-501 цианоакрилатный 20 мл(3),"501:3, 20:3",,шт:3,
лент элег,3,1,3,лента 24 24 элег(3),24:3,,"шт:2, м:1",
лист пластик,3,3,2,пластик 3мм лист метр на метр(1) | лист пластика (1м2) 1см(1) | лист пластика 1м2 1см(1),"1:2, 2:2, 3:1",,шт:3,
flexy fly неокрашенн парящ,3,3,3,профиль flexy fly 02 парящий неокрашенный 2 п.м.(1) | профиль flexy fly 01 парящий неокрашенный 2 п.м. белый(1) | профиль парящий flexy fly 02 пф8406 неокрашенный(1),"02:2, 2:2, 01:1, 8406:1",белый:1,"м:2, —:1",
алформ алюминиев отбойник профил,3,3,3,профиль алформ отбойник y алюминиевый 2.5 п.м.(1) | профиль алформ отбойник y алюминиевый 2.5 п.м(1) | профиль алформ отбойник z алюминиевый 2.5 п.м.(1),2.5:3,,шт:3,
eurokraab потолочн профил,3,1,3,профиль потолочный eurokraab(3),,,м:3,
профил усиленн,3,2,3,профиль усиленный(2) | усиленный профиль(1),,,"м:2, —:1",
рассеивател силикон,3,1,3,рассеиватель силикон(3),,,м:3,
лёд сигм,3,3,3,сигма +лёд 60(1) | сигма + лёд белая(1) | сигма лёд белая(1),60:1,белая:2,м:3,
connector line ring вентилятор,3,1,3,теневой диффузор u-line connector ring для вентиляторов d100 мм(3),100:3,,шт:3,
ват трансформатор,3,3,3,трансформатор на 100 ват(1) | трансформатор 300 ват 24 в(1) | трансформатор 60ват(1),"100:1, 300:1, 24:1, 60:1",,"шт:2, —:1",
мин флекс,3,1,3,флекси мини(3),,,"м:2, —:1",
акфикс двухкомпонентн,3,2,3,акфикс двухкомпонентный(2) | двухкомпонентный акфикс(1),,,шт:3,
ал евр профил стенов,3,1,3,ал. теневой профиль евро стеновой 145гр матовый черный(3),145:3,"черный:3, матовый:3",м:3,
альтез,3,2,3,альтеза п50 белый(2) | альтеза п50 белая 2м(1),"50:3, 2:1","белый:2, белая:1","м:2, шт:1",
альтез бампер,3,3,2,альтеза+черный бампер(1) | бампер альтеза р-50 черный 2м(1) | бампер альтеза р-50 черный 3.2 м(1),"50:2, 2:1, 3.2:1",черный:3,"шт:2, м:1",
алюминиев бондажн лент,3,2,3,алюминиевая бондажная лента 2 м(2) | бондажная лента алюминиевая(1),2:2,,"шт:2, м:1",
алюминиев труб,3,3,3,алюминиевую трубу 40х40(1) | труба алюминиевая 20*40(1) | труба алюминиевая 40*20(1),"40х40:1, 20*40:1, 40*20:1",,м:3,
ам однорядн,3,3,3,ам 01 белый однорядный(1) | ам 1 белый однорядный(1) | ам1 однорядная белая(1),"1:2, 01:1","белый:2, белая:1",м:3,
армированн скотч,3,2,3,скотч армированный(2) | армированный скотч(1),,,"шт:2, —:1",
атом конструкционн профил,3,3,3,атом конструкционный профиль(1) | конструкционный профиль атом 100 чёрный(1) | конструкционный профиль атом 3см(1),"100:1, 3:1",чёрный:1,м:3,
алюм багет облегч,3,2,3,багет алюм облегч(2) | облегч алюм багет(1),,,"—:2, м:1",
алюминиев багет,3,1,3,багет алюминиевый(3),,,—:3,
алюмини багет периметр,3,1,3,багет алюминия по периметру(3),,,"—:2, шт:1",
багет облегчен перфорированн,3,2,3,багет перфорированный облегченый(2) | багет облегченый перфорированный(1),,,м:3,
багет облегчёнк периметр,3,1,3,багет облегчёнка по периметру(3),,,—:3,
багет флекс,3,2,2,багет флекси 02(2) | багет флекси 05(1),"02:2, 05:1",,м:3,
баллон газ пистолет,3,2,3,газ баллон для пистолета(2) | баллон газа для пистолета(1),,,шт:3,
баллон газов пистолет,3,2,3,газовый баллон на пистолет(2) | баллон газовый для пистолета(1),,,шт:3,
балон газов,3,2,3,газовый балон(2) | балон газовый(1),,,"шт:2, —:1",
бауф усадк,3,3,3,бауф 205 белый мат усадка 8%(1) | белый мат бауф 205 (усадка 8%)(1) | белый мат бауф 230 усадка 7%(1),"205:2, 8:2, 230:1, 7:1","белый:3, мат:3",—:3,
белы магнитны решетк,3,3,3,белые магнитные решетки 170/600(1) | магнитные решетки белые(1) | решетки белые магнитные 20*20(1),"170/600:1, 20*20:1",,шт:3,
комнат,3,3,2,белый мат 2.10×4.08 комнаты(1) | белый мат комната 1(1) | белый мат комната 2(1),"2.10:1, 4.08:1, 1:1, 2:1","белый:3, мат:3",—:3,
гарпун кд премиум,3,2,3,мат премиум чёрный гарпун кд 3(2) | белый мат премиум гарпун кд2(1),"3:2, 2:1","мат:3, чёрный:2, белый:1",—:3,
гарпун обычн премиум усадк,3,2,2,белый мат премиум гарпун обычный усадка 8(2) | мат премиум гарпун обычный усадка 10%(1),"8:2, 10:1","мат:3, белый:2","шт:2, —:1",
блок вт элеганз,3,3,3,блок 200вт элеганз(1) | блок 300вт элеганз(1) | блоки элеганз 60вт/24в(1),"200:1, 300:1, 60:1, 24:1",,"шт:2, —:1",
mm run tokks блок,3,3,1,блок питания tokks run 200w-24v 193x49x29mm(1) | блок питания tokks run 300w-24v 211x60x29mm(1) | блок питания tokks run 400w-24v 229x60x29mm(1),"24:3, 29:3, 193x49:1, 200:1, 211x60:1, 300:1, 229x60:1, 400:1",,шт:3,
блок ват питани ран,3,3,2,блок питания ран на 100ват(1) | блок питания ран на 150ват(1) | блока питания токс ран 100 ват(1),"100:2, 150:1",,шт:3,
блок вт питани свг,3,3,1,блок питания свг 100вт 24в(1) | блок питания свг 200вт 24в(1) | блок питания свг 60вт 24в(1),"24:3, 100:1, 200:1, 60:1",,шт:3,
zbs блок ват питани,3,3,2,блок питания серии zbs на 300 ват - 1 шт и на 250 ват(1) | блоки питания zbs серии на 100 ват(1) | блоки питания zbs серии на 150 ват(1),"300:1, 1:1, 250:1, 100:1, 150:1",,"—:2, шт:1",
блок вольт элеганз,3,3,1,блоки на 24 вольт элеганз на 200(1) | блоки на 24 вольт элеганз на 300(1) | блоки на 24 вольт элеганз по 100(1),"24:3, 200:1, 300:1, 100:1",,шт:3,
алюминев бокс,3,2,3,бокс алюминевый 40х40(2) | бокс алюминевый 40х20(1),"40х40:2, 40х20:1",,м:3,
борз,3,3,3,"борз белый(1) | борз р45(1) | борз45 чёрная 3,2м(1)","45:2, 3,2:1","белый:1, чёрная:1","м:1, —:1, шт:1",
бп брус пвх,3,3,3,бп 40 брус пвх(1) | бп брус пвх(1) | пвх бп брус 40(1),40:2,,"м:2, шт:1",
брус дер,3,2,3,брус дер(2) | брус дер. 50/50 или 50/45 2м(1),"50/50:1, 50/45:1, 2:1",,"шт:2, м:1",
брус деревянн сращенн,3,2,3,брус деревянный сращенный 40x50 мм 2 п.м.(2) | брус деревянный сращенный 40×50 мм(1),"40x50:2, 2:2, 40×50:1",,"шт:1, —:1, м:1",
брус закладн,3,3,3,брус закладной(1) | закладная брус 40*40(1) | закладной брус 50мм(1),"40*40:1, 50:1",,м:3,
брус строганн,3,2,3,брус строганный(2) | брус строганный 4*5см(1),4*5:1,,м:3,
брус тенев,3,3,3,брус теневой(1) | брус теневой 06(1) | теневой брус(1),06:1,,м:3,
бур ка,3,1,3,бур 6ка(3),6:3,,шт:3,
бур перфоратор,3,3,3,бур для перфоратора(1) | бур для перфоратора 6*110(1) | буры на перфоратор(1),6*110:1,,шт:3,
ваг трехконтактны,3,1,3,ваги трехконтактные(3),,,шт:3,
ввнг провод,3,3,3,"ввнг провод черный 2*1,5(1) | провод ввнг(1) | провод ввнг 2х1.5(1)","5:2, 2*1:1, 2х1:1",черный:1,м:3,
вент магнитн прямоугольн решетк,3,3,2,вент решетка магнитная белая прямоугольная(1) | вент решетка прямоугольная магнитная 60х200мм(1) | вент решетка прямоугольная магнитная 75х525мм(1),"60х200:1, 75х525:1",белая:1,шт:3,
вент диаметр решётк,3,3,3,вент решётки 100 диаметр(1) | вент решётки 50 диаметр(1) | вент решётки диаметр 100(1),"100:2, 50:1",,шт:3,
